,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2020-11-03 00:00:00,13.39294798887926,0.0,19.575,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,4.036860966952423,-12.412656454877453,0.0,0.0,0.0,330.5,18.722557204700063,,0.0,0.0,24.0,23.0
2020-11-03 00:20:00,13.311896426685001,0.0,19.525,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,4.04255310237738,-12.433905858725868,0.0,0.0,0.0,331.25,17.442215522572667,,0.0,0.0,24.032665890344784,22.935333055779086
2020-11-03 00:40:00,13.206307978983764,0.0,19.46,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,4.049968428218798,-12.461588132900342,0.0,0.0,0.0,329.75,16.167671614100186,,0.0,0.0,24.06389614873576,22.871076848784814
2020-11-03 01:00:00,13.029627362039431,0.0,19.405,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,4.062376455545918,-12.507908742645517,0.0,0.0,0.0,333.0,14.880565862708721,,0.0,0.0,24.09371000887813,22.806683511895272
2020-11-03 01:20:00,12.916158117913866,0.0,19.345,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,4.070345238461936,-12.537657136476836,0.0,0.0,0.0,328.5,13.610853432282005,,0.0,0.0,24.12213329138505,22.742616972828912
2020-11-03 01:40:00,12.768095588560813,0.0,19.285,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,4.080743458380502,-12.576474901315226,0.0,0.0,0.0,332.75,12.324713976499691,,0.0,0.0,24.149187382260216,22.678603663731046
2020-11-03 02:00:00,12.623461501877294,0.0,19.224999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,4.090900903668161,-12.614393826441168,0.0,0.0,0.0,330.25,11.048237476808906,,0.0,0.0,24.17489356919611,22.614658333439095
2020-11-03 02:20:00,12.486256957439847,0.0,19.165,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,4.1005365828175115,-12.650364937862824,0.0,0.0,0.0,328.75,9.777558750773037,,0.0,0.0,24.199273484944932,22.550825565247397
2020-11-03 02:40:00,12.346775408875494,0.0,19.095,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,4.1103321727138304,-12.686933014709297,0.0,0.0,0.0,336.75,8.47595856524428,,0.0,0.0,24.222348020468505,22.487076912305287
2020-11-03 03:00:00,12.225020125043754,0.0,19.044999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,4.118882872361214,-12.718853771407584,0.0,0.0,0.0,331.0,7.196583178726037,,0.0,0.0,24.244139558377757,22.42353396949032
