,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2020-11-03 00:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,21988.25,,,29488.25,0.0,-7500.0,0.0,37.857142857142854,,,,,
2020-11-03 00:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22057.75,,,23588.497922437673,0.0,-1530.7479224376711,0.0,41.50178076770874,,,,,
2020-11-03 00:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22108.0,,,22108.0,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 01:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22115.25,,,22115.25,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 01:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22077.0,,,22077.0,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 01:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,21859.5,,,21859.5,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 02:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22068.25,,,22068.25,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 02:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22044.25,,,22044.25,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 02:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,21867.75,,,21867.75,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 03:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22131.5,,,22131.5,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 03:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22090.0,,,22090.0,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 03:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,21894.5,,,21894.5,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 04:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,21862.25,,,21862.25,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 04:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22380.5,,,22380.5,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 04:40:00,,,,-4.525,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22028.725,,,22033.25,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 05:00:00,,,,162.25,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,22145.75,,,21983.5,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 05:20:00,,,,986.475,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,21832.225,,,20845.75,0.0,0.0,0.0,41.50178076770874,,,,,
2020-11-03 05:40:00,,,,3163.5,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,21076.5,,,25413.0,0.0,-7499.999999999999,0.0,59.35892362485159,,,,,
2020-11-03 06:00:00,,,,5888.25,0.25,0.28,0.11,0.02,0.01,1.0,0.0,,,,,,,,20329.5,,,6941.25,0.0,0.0,7500.0,39.57261574990106,,,,,
2020-11-03 06:20:00,,,,8659.75,0.25,0.28,0.11,0.02,0.01,1.0,0.0,,,,,,,,20032.75,,,3873.0,0.0,0.0,7500.0,19.78630787495053,,,,,
2020-11-03 06:40:00,,,,11545.0,0.25,0.28,0.11,0.02,0.01,1.0,0.0,,,,,,,,22281.0,,,3236.0,0.0,0.0,7500.0,0.0,,,,,
2020-11-03 07:00:00,,,,14422.5,0.25,0.28,0.11,0.02,0.01,0.0,1.0,,,,,,,,22205.5,,,7783.0,0.0,0.0,0.0,0.0,,,,,
2020-11-03 07:20:00,,,,16852.5,0.25,0.28,0.11,0.02,0.01,0.0,1.0,,,,,,,,23635.75,,,6783.25,0.0,0.0,0.0,0.0,,,,,
2020-11-03 07:40:00,,,,19602.5,0.25,0.28,0.11,0.02,0.01,0.0,1.0,,,,,,,,23688.0,,,4085.5,0.0,0.0,0.0,0.0,,,,,
