,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_ch_p,p_ch_g,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2020-11-16 00:00:00,19.35626708967,0.0,27.9,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,3.618065585531176,-10.849244567195855,0.0,0.0,0.0,0.0,0.0,330.5,19.18539879720004,,0.0,0.0,24.0,23.0
2020-11-16 00:20:00,19.465718649811144,0.0,27.855,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,3.610378958821835,-10.820549495314278,0.0,0.0,0.0,0.0,0.0,331.25,18.368949028886917,,0.0,0.0,24.02223937558185,22.979988710582266
2020-11-16 00:40:00,20.294934491989075,0.0,27.790000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,3.5521443148197394,-10.603152793376431,0.0,0.0,0.0,0.0,0.0,329.75,17.556196391600118,,0.0,0.0,24.04238200188128,22.967062359123503
2020-11-16 01:00:00,20.61067825359848,0.0,27.72,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.5299700815044277,-10.520373800332777,0.0,0.0,0.0,0.0,0.0,333.0,16.735433303756285,,0.0,0.0,24.060723860555814,22.957003328366753
2020-11-16 01:20:00,20.699568030917682,0.0,27.665,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,3.523727479428696,-10.497069440427605,0.0,0.0,0.0,0.0,0.0,328.5,15.925761608991422,,0.0,0.0,24.077432034565614,22.947945769537174
2020-11-16 01:40:00,20.722267577634053,0.0,27.625,0.25,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,3.5221333226907294,-10.491118267837049,0.0,0.0,0.0,0.0,0.0,332.5,15.106230898156364,,0.0,0.0,24.092630537144036,22.939334419690745
2020-11-16 02:00:00,20.61679968285091,0.0,27.57,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,3.529540182272928,-10.518768936480768,0.0,0.0,0.0,0.0,0.0,330.25,14.29224588386079,,0.0,0.0,24.10637399532594,22.930129578240884
2020-11-16 02:20:00,20.545581999216672,0.0,27.535,0.25,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,3.534541698455013,-10.537440178338704,0.0,0.0,0.0,0.0,0.0,328.5,13.482574189095928,,0.0,0.0,24.11872995193455,22.92060248996126
2020-11-16 02:40:00,20.586445360142086,0.0,27.5,0.25,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,3.531671922993451,-10.526726972628657,0.0,0.0,0.0,0.0,0.0,336.5,12.653184462190673,,0.0,0.0,24.129814861190937,22.91164101743387
2020-11-16 03:00:00,20.725200044696464,0.0,27.47,0.5,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,3.521927379718175,-10.49034945875806,0.0,0.0,0.0,0.0,0.0,330.5,11.838583259390713,,0.0,0.0,24.13978366271169,22.90400707446111
2020-11-16 03:20:00,21.050210643900943,0.0,27.42,0.25,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,324.75,3.4991023496368996,-10.405140965663765,0.0,0.0,0.0,0.0,0.0,324.5,11.038770580696047,,0.0,0.0,24.14886884485539,22.899156212953123
