,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_ch_p,p_ch_g,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2020-11-16 00:00:00,19.35626708967,0.0,27.9,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,3.618065585531176,-10.849244567195855,330.5,0.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0,24.0,23.0
2020-11-16 00:20:00,19.465718649811144,0.0,27.855,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,3.610378958821835,-10.820549495314278,831.25,0.0,-500.0,0.0,-500.0,0.0,21.818181818181817,,0.0,0.0,24.033346983676108,22.981314892544642
2020-11-16 00:40:00,20.294934491989075,0.0,27.790000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,3.5521443148197394,-10.603152793376431,829.75,0.0,-500.0,0.0,-500.0,0.0,23.636363636363633,,0.0,0.0,24.066022773864695,22.96934839573012
2020-11-16 01:00:00,20.61067825359848,0.0,27.72,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.5299700815044277,-10.520373800332777,333.0,0.0,0.0,0.0,0.0,0.0,23.636363636363633,,0.0,0.0,24.098078450519974,22.960159205080675
2020-11-16 01:20:00,20.699568030917682,0.0,27.665,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,3.523727479428696,-10.497069440427605,568.7394303469824,0.0,-240.23943034698243,0.0,-240.23943034698243,0.0,24.509961564898113,,0.0,0.0,24.129538551383927,22.952006488026953
2020-11-16 01:40:00,20.722267577634053,0.0,27.625,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,3.5221333226907294,-10.491118267837049,332.75,0.0,0.0,0.0,0.0,0.0,24.509961564898113,,0.0,0.0,24.16041963225974,22.94437590725556
2020-11-16 02:00:00,20.61679968285091,0.0,27.57,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,3.529540182272928,-10.518768936480768,330.25,0.0,0.0,0.0,0.0,0.0,24.509961564898113,,0.0,0.0,24.190723640536113,22.936297778212683
2020-11-16 02:20:00,20.545581999216672,0.0,27.535,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,3.534541698455013,-10.537440178338704,328.75,0.0,0.0,0.0,0.0,0.0,24.509961564898113,,0.0,0.0,24.220456320915403,22.92803041176657
2020-11-16 02:40:00,20.586445360142086,0.0,27.5,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,3.531671922993451,-10.526726972628657,336.75,0.0,0.0,0.0,0.0,0.0,24.509961564898113,,0.0,0.0,24.249635717206605,22.920409887447764
2020-11-16 03:00:00,20.725200044696464,0.0,27.47,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,3.521927379718175,-10.49034945875806,331.0,0.0,0.0,0.0,0.0,0.0,24.509961564898113,,0.0,0.0,24.278290237923674,22.914153988953107
