,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_ch_p,p_ch_g,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2020-11-29 00:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22889.574999999997,,,22889.574999999997,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 00:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22445.15,,,22445.15,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 00:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22654.1,,,22654.1,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 01:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,23564.225,,,23564.225,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 01:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22613.35,,,22613.35,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 01:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22763.3,,,22763.3,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 02:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,23122.75,,,23122.75,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 02:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22909.8,,,22909.8,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 02:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22338.0,,,22338.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 03:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22509.475,,,22509.475,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 03:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,22724.324999999997,,,22724.324999999997,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
2020-11-29 03:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,,,,,,,21752.199999999997,,,21752.199999999997,0.0,0.0,0.0,0.0,0.0,20.0,,,,,
