,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,t_high,t_low,T_i,T_w,phi_h_cool,p_hvac,p_load,p_ch,p_dis,p_im,p_ex,soc,cost,payment
2020-11-03 00:00:00,13.39294798887926,0.0,19.575,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,4.036860966952423,-12.412656454877453,25.5,24.5,24.0,23.0,0.0,-0.0,330.5,0.0,330.5,0.0,0.0,2.7600000000000002,0.0,0.0
2020-11-03 00:20:00,13.311896426685001,0.0,19.525,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,4.04255310237738,-12.433905858725868,25.5,24.5,24.02491829272793,22.93032489586342,0.0,-0.0,331.25,0.0,331.25,0.0,0.0,2.6478139850644946,0.0,0.0
2020-11-03 00:40:00,13.206307978983764,0.0,19.46,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,4.049968428218798,-12.461588132900342,25.5,24.5,24.043838860384106,22.861323442690008,0.0,-0.0,329.75,0.0,329.75,0.0,0.0,2.5353733876442637,0.0,0.0
2020-11-03 01:00:00,13.029627362039431,0.0,19.405,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,4.062376455545918,-12.507908742645517,25.5,24.5,24.05718470373427,22.792737552626797,0.0,-0.0,333.0,0.0,333.0,0.0,0.0,2.423441955193483,0.0,0.0
2020-11-03 01:20:00,12.916158117913866,0.0,19.345,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,4.070345238461936,-12.537657136476836,25.5,24.5,24.065335638898933,22.72393987003671,0.0,-0.0,328.5,0.0,328.5,0.0,0.0,2.3104073319755605,0.0,0.0
2020-11-03 01:40:00,12.768095588560813,0.0,19.285,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,4.080743458380502,-12.576474901315226,25.5,24.5,24.068607621945983,22.65540347403469,0.0,-0.0,332.75,0.0,332.75,0.0,0.0,2.198900203665988,0.0,0.0
2020-11-03 02:00:00,12.623461501877294,0.0,19.224999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,4.090900903668161,-12.614393826441168,25.5,24.5,24.06732657138117,22.58680460189868,0.0,-0.0,330.25,0.0,330.25,0.0,0.0,2.085950441276307,0.0,0.0
2020-11-03 02:20:00,12.486256957439847,0.0,19.165,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,4.1005365828175115,-12.650364937862824,25.5,24.5,24.06177721246084,22.51813516143537,0.0,-0.0,328.75,0.0,328.75,0.0,0.0,1.973849287169043,0.0,0.0
2020-11-03 02:40:00,12.346775408875494,0.0,19.095,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,4.1103321727138304,-12.686933014709297,25.5,24.5,24.05222570425578,22.449421885724952,0.0,-0.0,336.75,0.0,336.75,0.0,0.0,1.862257298031229,0.0,0.0
2020-11-03 03:00:00,12.225020125043754,0.0,19.044999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,4.118882872361214,-12.718853771407584,25.5,24.5,24.038923024954027,22.38061465398083,0.0,-0.0,331.0,0.0,331.0,0.0,0.0,1.7479497623896811,0.0,0.0
2020-11-03 03:20:00,12.082875851408946,0.0,18.990000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,324.75,4.128865461635339,-12.756119938689672,25.5,24.5,24.022101061465275,22.311828117409483,0.0,-0.0,324.75,0.0,324.75,0.0,0.0,1.635594025797692,0.0,0.0
2020-11-03 03:40:00,11.941524108617699,0.0,18.925,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.5,4.138792392600507,-12.793178327028311,25.5,24.5,24.001984267331345,22.24286840064517,0.0,-0.0,332.5,0.0,332.5,0.0,0.0,1.525359809911745,0.0,0.0
2020-11-03 04:00:00,11.788745365123043,0.0,18.855,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,4.149521825500789,-12.833232548465654,25.5,24.5,23.978770571813723,22.173718051103293,0.0,-0.0,333.0,0.0,333.0,0.0,0.0,1.4124949083503058,0.0,0.0
2020-11-03 04:20:00,11.651337415756991,0.0,18.790000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,327.5,4.159171789487696,-12.869256986848022,25.5,24.5,23.952644247817936,22.104262582468234,0.0,-0.0,327.5,0.0,327.5,0.0,0.0,1.299460285132383,0.0,0.0
2020-11-03 04:40:00,11.514445637112367,0.0,18.71,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,338.25,4.1687855035422245,-12.905146100014967,25.5,24.5,23.923770625324003,22.03460778501488,0.0,-0.0,338.25,0.0,338.25,0.0,0.0,1.1882926001357776,0.0,0.0
2020-11-03 05:00:00,11.402043915493788,0.0,18.645000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,343.75,4.1766793158776085,-12.934614619945599,25.5,24.5,23.892311259177582,21.96473882468069,0.0,-0.0,343.75,0.0,343.75,0.0,0.0,1.0734758995247797,0.0,0.0
2020-11-03 05:20:00,11.275871303100372,0.0,18.575,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,350.25,4.18554023819941,-12.967693473983369,25.5,24.5,23.858416520228282,21.894836486821134,0.0,-0.0,350.25,0.0,350.25,0.0,0.0,0.9567922606924647,0.0,0.0
2020-11-03 05:40:00,11.180678167951378,14.75,18.494999999999997,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,366.5,4.192225516090731,-12.992650394215573,25.5,24.5,23.822238707767337,21.824770120205585,0.0,-0.0,366.5,0.0,366.5,0.0,0.0,0.8379022403258659,0.0,0.0
2020-11-03 06:00:00,11.168775886875588,28.75,18.43,7.75,0.25,0.28,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,1500.0,0.0,380.5,4.193061396287424,-12.995770832248473,25.5,24.5,23.785571913778863,21.755474258412306,0.0,-0.0,380.5,0.0,372.75,0.0,0.0,0.7134962661235577,0.0,0.0
2020-11-03 06:20:00,11.279646035969439,44.25,18.395,98.5,0.25,0.28,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,1500.0,0.0,391.5,4.185275144102491,-12.96670384687461,25.5,24.5,23.748411603187463,21.687571146020087,0.0,-0.0,391.5,0.0,293.0,0.0,0.0,0.5869687712152074,0.0,0.0
