,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,t_high,t_low,T_i,T_w,phi_h_cool,p_hvac,p_load,p_ch,p_dis,p_im,p_ex,soc,cost,payment
2020-11-03 00:00:00,13.39294798887926,0.0,19.575,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,3.6,-7.0,25.5,24.5,24.0,23.0,0.0,-0.0,330.5,0.0,330.5,0.0,0.0,1.7600000000000002,0.0,0.0
2020-11-03 00:20:00,13.311896426685001,0.0,19.525,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,3.6,-7.0,25.5,24.5,24.034129282322837,22.934719097289566,0.0,-0.0,331.25,0.0,331.25,0.0,0.0,1.6440350877192984,0.0,0.0
2020-11-03 00:40:00,13.206307978983764,0.0,19.46,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,3.6,-7.0,25.5,24.5,24.066763939856788,22.87007256552555,0.0,-0.0,329.75,0.0,329.75,0.0,0.0,1.5278070175438598,0.0,0.0
2020-11-03 01:00:00,13.029627362039431,0.0,19.405,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.6,-7.0,25.5,24.5,24.097935981895475,22.80585334367186,0.0,-0.0,333.0,0.0,333.0,0.0,0.0,1.412105263157895,0.0,0.0
2020-11-03 01:20:00,12.916158117913866,0.0,19.345,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,3.6,-7.0,25.5,24.5,24.12767382332777,22.74150465198662,0.0,-0.0,328.5,0.0,328.5,0.0,0.0,1.2952631578947371,0.0,0.0
2020-11-03 01:40:00,12.768095588560813,0.0,19.285,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,3.6,-7.0,25.5,24.5,24.15599708068449,22.677497008526263,0.0,-0.0,332.75,0.0,332.75,0.0,0.0,1.1800000000000002,0.0,0.0
2020-11-03 02:00:00,12.623461501877294,0.0,19.224999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,3.6,-7.0,25.5,24.5,24.182932149767595,22.613552135190265,0.0,-0.0,330.25,0.0,330.25,0.0,0.0,1.0632456140350879,0.0,0.0
2020-11-03 02:20:00,12.486256957439847,0.0,19.165,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,3.6,-7.0,25.5,24.5,24.208500845629423,22.54968455428752,0.0,-0.0,328.75,0.0,328.75,0.0,0.0,0.9473684210526317,0.0,0.0
2020-11-03 02:40:00,12.346775408875494,0.0,19.095,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,3.6,-7.0,25.5,24.5,24.23272487367645,22.4859390799666,0.0,-0.0,336.75,0.0,336.75,0.0,0.0,0.8320175438596493,0.0,0.0
2020-11-03 03:00:00,12.225020125043754,0.0,19.044999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,3.6,-7.0,25.5,24.5,24.25562628675338,22.4222863911,0.0,-0.0,331.0,0.0,331.0,0.0,0.0,0.7138596491228072,0.0,0.0
2020-11-03 03:20:00,12.082875851408946,0.0,18.990000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,324.75,3.6,-7.0,25.5,24.5,24.277226365301043,22.35884949505731,0.0,-0.0,324.75,0.0,324.75,0.0,0.0,0.5977192982456142,0.0,0.0
2020-11-03 03:40:00,11.941524108617699,0.0,18.925,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.5,3.6,-7.0,25.5,24.5,24.297547919217134,22.295460606370135,0.0,-0.0,332.5,0.0,332.5,0.0,0.0,0.4837719298245616,0.0,0.0
2020-11-03 04:00:00,11.788745365123043,0.0,18.855,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.6,-7.0,25.5,24.5,24.31661089281209,22.23211531074655,0.0,-0.0,333.0,0.0,333.0,0.0,0.0,0.3671052631578949,0.0,0.0
2020-11-03 04:20:00,11.651337415756991,0.0,18.790000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,327.5,3.6,-7.0,25.5,24.5,24.334434864166564,22.16871673207047,0.0,-0.0,327.5,0.0,327.5,0.0,0.0,0.25026315789473697,0.0,0.0
2020-11-03 04:40:00,11.514445637112367,0.0,18.71,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,338.25,3.6,-7.0,25.5,24.5,24.351037660480962,22.10537286235376,0.0,-0.0,338.25,0.0,338.25,0.0,0.0,0.13535087719298258,0.0,0.0
2020-11-03 05:00:00,11.402043915493788,0.0,18.645000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,343.75,3.6,-7.0,25.5,24.5,24.36643846457697,22.04207752454314,0.0,-0.0,343.75,0.0,50.000000000000405,293.7499999999996,0.0,0.016666666666666802,0.015666666666666648,0.0
2020-11-03 05:20:00,11.275871303100372,0.0,18.575,116.75,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,350.25,3.6,-7.0,25.5,24.5,24.380656077992427,21.979006612716834,0.0,-0.0,350.25,0.0,0.0,233.5,0.0,-0.0008771929824561465,0.012453333333333334,0.0
2020-11-03 05:40:00,11.180678167951378,14.75,18.494999999999997,569.75,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,366.5,3.6,-7.0,25.5,24.5,24.393711664139914,21.91604330204365,0.0,-0.0,366.5,-203.25,0.0,0.0,0.0,-0.0008771929824561465,0.0,0.0
2020-11-03 06:00:00,11.168775886875588,28.75,18.43,1123.75,0.25,0.28,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,1500.0,0.0,380.5,3.6,-7.0,25.5,24.5,24.407292207560836,21.855541205498003,0.0,-0.0,380.5,-743.25,0.0,0.0,0.0,0.06348530701754385,0.0,0.0
2020-11-03 06:20:00,11.279646035969439,44.25,18.395,1742.75,0.25,0.28,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,1500.0,0.0,391.5,3.6,-7.0,25.5,24.5,24.421342011474383,21.797990437585042,0.0,-0.0,391.5,-1351.25,0.0,0.0,0.0,0.2988478070175438,0.0,0.0
2020-11-03 06:40:00,11.995974304790082,92.47999999999999,18.340000000000003,2390.5,0.25,0.28,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,1500.0,0.0,393.5,3.6,-7.0,25.5,24.5,24.436068010110876,21.74449748383184,0.0,-0.0,393.5,-1997.0,0.0,0.0,0.0,0.7267436403508771,0.0,0.0
2020-11-03 07:00:00,13.009713464693814,145.5,18.31,3055.75,0.25,0.28,0.11,0.02,0.01,0.0,1.0,0.0,25.0,10.0,1.32,500.0,1500.0,0.0,3013.0,3.6,-7.0,25.5,24.5,24.455222078317135,21.704322486404813,0.0,-0.0,3013.0,-42.75,0.0,0.0,0.0,1.3591269736842104,0.0,0.0
2020-11-03 07:20:00,14.351127227612494,209.92,18.275000000000002,3628.25,0.25,0.28,0.11,0.02,0.01,0.0,1.0,0.0,25.0,10.0,1.32,500.0,1500.0,0.0,3013.25,3.6,-7.0,25.5,24.5,24.560108818836678,21.680244159428888,0.0,-0.0,3013.25,-615.0,0.0,0.0,0.0,1.3726644736842104,0.0,0.0
2020-11-03 07:40:00,15.814404097555217,281.4,18.25,4230.75,0.25,0.28,0.11,0.02,0.01,0.0,1.0,0.0,25.0,10.0,1.32,500.0,1500.0,0.0,3007.25,3.6,-7.0,25.5,24.5,24.670341043202765,21.6767993874487,0.0,-0.0,3007.25,-1223.5,0.0,0.0,0.0,1.5674144736842104,0.0,0.0
2020-11-03 08:00:00,16.91593628430496,363.59999999999997,18.224999999999998,4838.75,0.25,0.28,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,1.02,4000.0,1500.0,0.0,756.0,3.6,-7.0,23.5,22.5,24.786946934852757,21.695659078163505,-7.0,3240.7407407407404,3996.7407407407404,-842.0092592592596,0.0,0.0,0.0,1.954856140350877,0.0,0.0
2020-11-03 08:20:00,17.8381813298644,442.0,18.2,5315.0,0.25,0.28,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,1.02,2250.0,1500.0,0.0,766.0,3.6,-7.0,23.5,22.5,24.193580761381444,21.735336931353512,-7.0,3240.7407407407404,4006.7407407407404,-1308.2592592592596,0.0,0.0,0.0,2.2214924057829757,0.0,0.0
2020-11-03 08:40:00,18.556409348556883,536.1600000000001,18.22,5495.75,0.25,0.28,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,1.02,500.0,1500.0,0.0,780.75,3.6,-7.0,23.5,22.5,23.61859764815901,21.788223980438953,-7.0,3240.7407407407404,4021.4907407407404,-1474.2592592592596,0.0,0.0,0.0,2.635774504548408,0.0,0.0
2020-11-03 09:00:00,19.119804676283668,635.28,18.275000000000002,5750.0,0.25,0.21,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,0.38,300.0,500.0,0.0,402.25,3.6,-7.0,23.5,22.5,23.0637019107452,21.8549867776017,-3.1605768145577713,1463.2300067397089,1865.4800067397089,-3884.519993260291,0.0,0.0,0.0,3.1026232699805067,0.0,0.0
2020-11-03 09:20:00,19.63970128709235,727.68,18.32,6224.25,0.25,0.21,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,0.38,300.0,500.0,0.0,412.25,3.6,-7.0,23.5,22.5,22.84395523992361,21.935108804625763,-2.0,925.9259259259259,1338.1759259259259,-4886.074074074074,0.0,0.0,0.0,4.332721267846265,0.0,0.0
2020-11-03 09:40:00,20.21611919246726,775.52,18.34,6504.5,0.25,0.21,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,0.38,300.0,500.0,0.0,406.25,3.6,-7.0,23.5,22.5,22.753283131285777,22.029629459492064,-2.0,925.9259259259259,1332.1759259259259,-5172.324074074074,0.0,0.0,0.0,5.879978057969722,0.0,0.0
2020-11-03 10:00:00,20.672942407500063,826.56,18.38,6731.75,0.25,0.21,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,0.38,300.0,500.0,0.0,415.5,3.6,-7.0,23.5,22.5,22.670805018352528,22.1333059704379,-2.0,925.9259259259259,1341.4259259259259,-3846.3579557204675,0.0,0.0,-1543.9661183536064,7.517880681426512,0.0,-0.056612091006298895
2020-11-03 10:20:00,21.045862926641092,921.6,18.42,6860.75,0.25,0.21,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,0.38,300.0,500.0,0.0,393.75,3.6,-7.0,23.5,22.5,22.59689721119779,22.245616427674324,-2.0,925.9259259259259,1319.6759259259259,-192.31789778602604,0.0,0.0,-5348.756176288048,8.735894034071325,0.0,-0.1961210597972284
2020-11-03 10:40:00,21.55813189931862,985.4399999999999,18.46,7035.0,0.25,0.21,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,0.38,300.0,500.0,0.0,415.0,3.6,-7.0,23.5,22.5,22.536536084547727,22.372209687122364,-2.0,925.9259259259259,1340.9259259259259,-9.615894889302368,0.0,0.0,-5684.458179184771,8.796794701703567,0.0,-0.20843013323677495
2020-11-03 11:00:00,22.172944493928128,1050.4,18.514999999999997,7120.0,0.25,0.21,0.11,0.02,0.01,0.0,1.0,0.0,23.0,50.0,0.38,300.0,500.0,0.0,423.5,3.6,-7.0,23.5,22.5,22.486204682339014,22.509525165024087,0.0,-0.0,423.5,-0.48079474446538484,0.0,0.0,-6696.019205255535,8.799839735085179,0.0,-0.24552070419270294
