,load,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,p_load,p_ch,p_dis,p_im,p_ex,soc
2021-01-10 00:00:00,3715.625,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3715.625,0.0,3715.625,0.0,0.0,2.261
2021-01-10 00:20:00,3763.15,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3763.15,0.0,2871.815789473685,891.334210526315,0.0,0.9572719298245616
2021-01-10 00:40:00,3783.85,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3783.85,0.0,0.0,3783.85,0.0,-0.05038273314866126
2021-01-10 01:00:00,3760.325,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3760.325,0.0,0.0,3760.325,0.0,-0.05038273314866126
2021-01-10 01:20:00,3728.425,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3728.425,0.0,0.0,3728.425,0.0,-0.05038273314866126
2021-01-10 01:40:00,3768.375,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3768.375,0.0,0.0,3768.375,0.0,-0.05038273314866126
2021-01-10 02:00:00,3711.4,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3711.4,0.0,0.0,3711.4,0.0,-0.05038273314866126
2021-01-10 02:20:00,3712.8,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3712.8,0.0,0.0,3712.8,0.0,-0.05038273314866126
2021-01-10 02:40:00,3722.975,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3722.975,0.0,0.0,3722.975,0.0,-0.05038273314866126
2021-01-10 03:00:00,5371.225,0.0,0.25,0.16,0.11,0.02,0.01,1,0,5371.225,0.0,0.0,5371.225,0.0,-0.05038273314866126
2021-01-10 03:20:00,6278.325,0.0,0.25,0.16,0.11,0.02,0.01,1,0,6278.325,0.0,0.0,6278.325,0.0,-0.05038273314866126
2021-01-10 03:40:00,9644.35,0.0,0.25,0.16,0.11,0.02,0.01,1,0,9644.35,0.0,0.0,9644.35,0.0,-0.05038273314866126
2021-01-10 04:00:00,11859.225,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11859.225,0.0,0.0,11859.225,0.0,-0.05038273314866126
2021-01-10 04:20:00,10426.275,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10426.275,0.0,0.0,10426.275,0.0,-0.05038273314866126
2021-01-10 04:40:00,9608.05,1.025,0.25,0.16,0.11,0.02,0.01,1,0,9608.05,0.0,0.0,9607.025,0.0,-0.05038273314866126
2021-01-10 05:00:00,4402.025,218.5,0.25,0.16,0.11,0.02,0.01,1,0,4402.025,0.0,0.0,4183.525,0.0,-0.05038273314866126
