,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2020-11-03 00:00:00,13.39294798887926,0.0,19.575,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,4.036860966952423,-12.412656454877453,0.0,-1419.6500000000003,0.0,1750.1500000000003,15.686310756186533,,0.0,0.0,24.0,23.0
2020-11-03 00:20:00,13.311896426685001,0.0,19.525,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,4.04255310237738,-12.433905858725868,5.115907697472721e-13,0.0,0.0,331.2499999999995,14.869860987873412,,0.0,0.0,24.019315045717864,22.930943177749242
2020-11-03 00:40:00,13.206307978983764,0.0,19.46,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,4.049968428218798,-12.461588132900342,-3.979039320256561e-13,0.0,0.0,329.7500000000004,14.057108350586613,,0.0,0.0,24.03338306771747,22.862257523813238
2020-11-03 01:00:00,13.029627362039431,0.0,19.405,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,4.062376455545918,-12.507908742645517,-2.2737367544323206e-13,0.0,0.0,333.0000000000002,13.23634526274278,,0.0,0.0,24.042502579172695,22.793331373586295
2020-11-03 01:20:00,12.916158117913866,0.0,19.345,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,4.070345238461936,-12.537657136476836,-2.8421709430404007e-13,0.0,0.0,328.5000000000003,12.426673567977918,,0.0,0.0,24.04698234326752,22.72463514875819
2020-11-03 01:40:00,12.768095588560813,0.0,19.285,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,4.080743458380502,-12.576474901315226,-2.8421709430404007e-13,0.0,0.0,332.7500000000003,11.606526668638471,,0.0,0.0,24.047093988947125,22.655854813918765
2020-11-03 02:00:00,12.623461501877294,0.0,19.224999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,4.090900903668161,-12.614393826441168,4.547473508864641e-13,0.0,0.0,330.24999999999955,10.7925416543429,,0.0,0.0,24.043092704119648,22.586986256403993
2020-11-03 02:20:00,12.486256957439847,0.0,19.165,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,4.1005365828175115,-12.650364937862824,-7.389644451905042e-13,0.0,0.0,328.75000000000074,9.982253771073648,,0.0,0.0,24.035220235122342,22.518059228197743
2020-11-03 02:40:00,12.346775408875494,0.0,19.095,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,4.1103321727138304,-12.686933014709297,2.2737367544323206e-13,0.0,0.0,336.7499999999998,9.152247855664006,,0.0,0.0,24.023701156164666,22.44902747250605
2020-11-03 03:00:00,12.225020125043754,0.0,19.044999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,4.118882872361214,-12.718853771407584,-8.526512829121202e-13,0.0,0.0,331.00000000000085,8.336414275855269,,0.0,0.0,24.008753541883408,22.380006555656305
