,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2020-11-04 00:00:00,14.414342848480688,0.0,20.595,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,3.965129865098129,-12.144875905400232,0.0,0.0,0.0,330.5,18.722557204700063,,0.0,0.0,24.0,23.0
2020-11-04 00:20:00,14.46842425786959,0.0,20.54,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,3.9613318049759023,-12.130697305041588,0.0,0.0,0.0,331.25,17.442215522572667,,0.0,0.0,24.032793892643966,22.9439747214009
2020-11-04 00:40:00,14.552579358438573,0.0,20.5,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,3.9554217124845152,-12.108634242103845,0.0,0.0,0.0,329.75,16.167671614100186,,0.0,0.0,24.064297375327236,22.889650714860302
2020-11-04 01:00:00,14.563329679386246,0.0,20.44,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.954666732801961,-12.105815815103393,0.0,0.0,0.0,333.0,14.880565862708721,,0.0,0.0,24.094546122714263,22.836444759170647
2020-11-04 01:20:00,14.504965854137069,0.0,20.384999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,3.9587655408723177,-12.121117142545863,0.0,0.0,0.0,328.5,13.610853432282005,,0.0,0.0,24.123567249156892,22.783814606883794
2020-11-04 01:40:00,14.398961238103473,0.0,20.330000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,3.966210093621192,-12.148908524166556,0.0,0.0,0.0,332.75,12.324713976499691,,0.0,0.0,24.151381934219145,22.731386704142704
2020-11-04 02:00:00,14.23345294230446,0.0,20.29,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,3.9778335047947335,-12.192300070516605,0.0,0.0,0.0,330.25,11.048237476808906,,0.0,0.0,24.178004282008107,22.678704553677896
2020-11-04 02:20:00,14.138896883144257,0.0,20.23,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,3.98447404174947,-12.21708996762672,0.0,0.0,0.0,328.75,9.777558750773037,,0.0,0.0,24.20345596642774,22.626293310209384
2020-11-04 02:40:00,14.186315159083545,0.0,20.18,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,3.981143923970648,-12.204658250483323,0.0,0.0,0.0,336.75,8.47595856524428,,0.0,0.0,24.22777386662201,22.575201180763145
2020-11-04 03:00:00,14.206081164524441,0.0,20.115000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,3.9797557856456844,-12.199476168599734,0.0,0.0,0.0,331.0,7.196583178726037,,0.0,0.0,24.25099084151413,22.525193632144074
2020-11-04 03:20:00,14.326448488823255,0.0,20.060000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,324.75,3.9713025604134997,-12.167919295234991,0.0,0.0,0.0,324.75,5.941365182436613,,0.0,0.0,24.273150039331945,22.476998172750825
2020-11-04 03:40:00,14.55735665584127,0.0,20.009999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.5,3.9550862097126345,-12.107381771219071,0.0,0.0,0.0,332.5,4.656192022263452,,0.0,0.0,24.29430569014699,22.43140610602723
2020-11-04 04:00:00,14.702319101373721,0.0,19.97,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.944905704252098,-12.06937675978462,0.0,0.0,0.0,333.0,3.3690862708719864,,0.0,0.0,24.314501027019308,22.387729234003316
2020-11-04 04:20:00,14.789281652604265,0.0,19.904999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,327.5,3.9387984485113927,-12.04657766349629,0.0,0.0,0.0,327.5,2.1032390228818816,,0.0,0.0,24.333771697801332,22.345498698721073
