,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_ch_p,p_ch_g,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2021-01-10 00:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2704.25,,,0.0,-2204.25,-500.0,0.0,-500.0,0.0,21.19047619047619,,,,,
2021-01-10 00:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2820.0,,,0.0,-2320.0,-500.0,0.0,-500.0,0.0,22.38095238095238,,,,,
2021-01-10 00:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2361.75,,,0.0,-1861.75,-500.0,0.0,-500.0,0.0,23.57142857142857,,,,,
2021-01-10 01:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2847.5,,,0.0,-2347.5,-500.0,0.0,-500.0,0.0,24.76190476190476,,,,,
2021-01-10 01:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2721.5,,,0.0,-2221.5,-500.0,0.0,-500.0,0.0,25.95238095238095,,,,,
2021-01-10 01:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2897.25,,,0.0,-2397.25,-500.0,0.0,-500.0,0.0,27.14285714285714,,,,,
2021-01-10 02:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2709.25,,,0.0,-2209.25,-500.0,0.0,-500.0,0.0,28.33333333333333,,,,,
2021-01-10 02:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2736.25,,,0.0,-2236.25,-500.0,0.0,-500.0,0.0,29.52380952380952,,,,,
2021-01-10 02:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2903.25,,,0.0,-2403.25,-500.0,0.0,-500.0,0.0,30.714285714285708,,,,,
2021-01-10 03:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-1155.75,,,0.0,-655.75,-500.0,0.0,-500.0,0.0,31.904761904761898,,,,,
2021-01-10 03:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-170.75,,,0.0,0.0,-170.75,0.0,-170.75,0.0,32.31130952380952,,,,,
2021-01-10 03:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,3035.25,,,0.0,0.0,0.0,0.0,0.0,3035.25,24.30379072681704,,,,,
2021-01-10 04:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,3818.25,,,0.0,0.0,0.0,0.0,0.0,3818.25,14.230581387679726,,,,,
2021-01-10 04:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,2985.25,,,0.0,0.0,0.0,0.0,0.0,2985.25,6.354971309853582,,,,,
2021-01-10 04:40:00,,,,0.175,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,2665.475,,,256.4481249999976,0.0,0.0,0.0,0.0,2408.851875000002,-4.440892098500626e-15,,,,,
2021-01-10 05:00:00,,,,173.025,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2031.475,,,0.0,-2204.5,0.0,0.0,0.0,0.0,-4.440892098500626e-15,,,,,
2021-01-10 05:20:00,,,,665.125,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-3186.625,,,0.0,-3851.75,0.0,0.0,0.0,0.0,-4.440892098500626e-15,,,,,
2021-01-10 05:40:00,,,,1997.75,0.25,0.16,0.11,0.02,0.01,1.0,0.0,,,,,,,,-3073.0,,,0.0,-5070.75,0.0,0.0,0.0,0.0,-4.440892098500626e-15,,,,,
2021-01-10 06:00:00,,,,4195.25,0.25,0.28,0.11,0.02,0.01,1.0,0.0,,,,,,,,-2439.75,,,0.0,-6635.0,0.0,0.0,0.0,0.0,-4.440892098500626e-15,,,,,
2021-01-10 06:20:00,,,,6887.25,0.25,0.28,0.11,0.02,0.01,1.0,0.0,,,,,,,,-3774.25,,,0.0,-10661.5,0.0,0.0,0.0,0.0,-4.440892098500626e-15,,,,,
2021-01-10 06:40:00,,,,9715.75,0.25,0.28,0.11,0.02,0.01,1.0,0.0,,,,,,,,-4373.0,,,0.0,-14088.75,0.0,0.0,0.0,0.0,-4.440892098500626e-15,,,,,
2021-01-10 07:00:00,,,,12500.0,0.25,0.28,0.11,0.02,0.01,0.0,1.0,,,,,,,,-5021.0,,,4.937976774168784e-13,-17521.000000000033,3.224801158640854e-11,3.224801158640854e-11,0.0,0.0,-8.122187206614e-14,,,,,
2021-01-10 07:20:00,,,,15265.0,0.25,0.28,0.11,0.02,0.01,0.0,1.0,,,,,,,,-5575.25,,,4.937976774168784e-13,-20840.250000000033,3.224801158640854e-11,3.224801158640854e-11,0.0,0.0,-1.5800285203377938e-13,,,,,
