TIME,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load
00:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
00:05:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,326
00:10:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
00:15:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
00:20:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,330
00:25:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,331
00:30:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,329
00:35:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,335
00:40:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,338
00:45:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,324
00:50:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,330
00:55:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,327
01:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,331
01:05:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,331
01:10:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,336
01:15:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,334
01:20:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,325
01:25:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,331
01:30:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,329
01:35:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,329
01:40:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
01:45:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,333
01:50:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,334
01:55:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
02:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,329
02:05:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,331
02:10:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,333
02:15:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,328
02:20:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,330
02:25:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,328
02:30:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
02:35:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,325
02:40:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,353
02:45:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,331
02:50:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,331
02:55:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
03:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,334
03:05:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,327
03:10:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,330
03:15:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,333
03:20:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,327
03:25:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,329
03:30:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,324
03:35:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,319
03:40:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,323
03:45:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,342
03:50:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,330
03:55:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,335
04:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,332
