,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2021-01-01 00:00:00,19.3,0.0,23.06,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,424.0,3.6220171428571435,-10.863996190476195,424.0,0.0,0.0,0.0,0.0,,,,,
2021-01-01 00:10:00,19.31410402224148,0.0,23.0,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,413.0,3.6210266375237277,-10.860298518816544,413.0,0.0,0.0,0.0,0.0,,,,,
2021-01-01 00:20:00,19.371719522164994,0.0,22.96,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,412.5,3.6169803832719563,-10.845193380893738,412.5,0.0,0.0,0.0,0.0,,,,,
2021-01-01 00:30:00,19.405968235731322,0.0,22.98,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,407.0,3.6145751450449266,-10.836214346731321,407.0,0.0,0.0,0.0,0.0,,,,,
2021-01-01 00:40:00,19.432499409278513,0.0,22.96,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,413.0,3.612711898628384,-10.829258631060778,413.0,0.0,0.0,0.0,0.0,,,,,
2021-01-01 00:50:00,19.443039991936466,0.0,22.91,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,407.0,3.611971648566291,-10.826495191447368,407.0,0.0,0.0,0.0,0.0,,,,,
2021-01-01 01:00:00,19.416038520784753,0.0,22.89,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,423.0,3.6138679233117457,-10.83357420571274,423.0,0.0,0.0,0.0,0.0,,,,,
2021-01-01 01:10:00,19.385999220613158,0.0,22.86,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,409.5,3.615977540449511,-10.841449651952015,409.5,0.0,0.0,0.0,0.0,,,,,
2021-01-01 01:20:00,19.346249156496015,0.0,22.88,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,417.5,3.618769130666652,-10.851870983047412,417.5,0.0,0.0,0.0,0.0,,,,,
2021-01-01 01:30:00,19.33002850495804,0.0,22.78,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,439.0,3.619908283851805,-10.856123574433482,439.0,0.0,0.0,0.0,0.0,,,,,
