,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2021-01-26 00:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,450.75,,,0.0,0.0,0.0,450.75,34.44450606329488,,,,,
2021-01-26 00:10:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,457.75,,,0.0,0.0,0.0,457.75,33.88038548752834,,,,,
2021-01-26 00:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,450.9,,,0.0,0.0,0.0,450.9,33.32470669427191,,,,,
2021-01-26 00:30:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,453.125,,,0.0,0.0,0.0,453.125,32.76628586217095,,,,,
2021-01-26 00:40:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,455.0,,,0.0,0.0,0.0,455.0,32.205554323178546,,,,,
2021-01-26 00:50:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,450.5,,,0.0,0.0,0.0,450.5,31.650368480725625,,,,,
2021-01-26 01:00:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,452.625,,,0.0,0.0,0.0,452.625,31.092563837129056,,,,,
2021-01-26 01:10:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,455.125,,,0.0,0.0,0.0,455.125,30.53167825101055,,,,,
2021-01-26 01:20:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,457.45,,,0.0,0.0,0.0,457.45,29.967927388346645,,,,,
2021-01-26 01:30:00,,,,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,448.75,,,0.0,0.0,0.0,448.75,29.414898205659078,,,,,
