,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w,cost,payment,p_load
2020-11-28 00:00:00,23.298968218450156,0.0,28.560000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,3.3411753176871297,-9.815580979833376,330.4999999999998,0.0,0.0,0.0,38.2,,0.0,0.0,25.74,24.24,0.017626666666666655,0.0,330.5
2020-11-28 00:20:00,23.386013109301473,0.0,28.529999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,3.335062279352486,-9.792760296449043,331.2499999999998,0.0,0.0,0.0,38.2,,0.0,0.0,25.733924104094378,24.245097832327602,0.017666666666666653,0.0,331.25
2020-11-28 00:40:00,22.656807272911422,0.0,28.485000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,3.386273363519535,-9.983937232298047,0.0,0.0,0.0,329.75,37.387247362713204,,0.0,0.0,25.72816050112353,24.24425957174306,0.0,0.0,329.75
2020-11-28 01:00:00,22.246797050101108,0.0,28.465000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.4150677957386137,-10.091430198141115,0.0,0.0,0.0,333.0,36.56648427486937,,0.0,0.0,25.72249392894355,24.240123325144673,0.0,0.0,333.0
2020-11-28 01:20:00,21.985972785507148,0.0,28.44,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.5,3.433385111234956,-10.159810868195805,0.0,0.0,0.0,1328.4999999999854,33.29205856255549,,-2.0600310667409434,999.9999999999854,25.37443192091477,24.23120250237683,0.0,0.0,1328.4999999999854
2020-11-28 01:40:00,21.93403368139598,0.0,28.405,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,3.437032720317963,-10.173427817319352,332.7499999999998,0.0,0.0,0.0,33.29205856255549,,0.0,0.0,25.38878315946199,24.222124378366463,0.017746666666666654,0.0,332.75
2020-11-28 02:00:00,21.88899333126229,0.0,28.384999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,3.4401958397644945,-10.185236110257257,330.2499999999998,0.0,0.0,0.0,33.29205856255549,,0.0,0.0,25.401730807525382,24.212935234548993,0.01761333333333332,0.0,330.25
2020-11-28 02:20:00,21.8571730454379,0.0,28.345000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,3.4424305329803904,-10.193578480049391,0.0,0.0,0.0,328.75,32.48177067928624,,0.0,0.0,25.413357691758122,24.203731631271417,0.0,0.0,328.75
2020-11-28 02:40:00,21.819300412725458,0.0,28.32,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,3.445090273872024,-10.203507602271372,0.0,0.0,0.0,336.75,31.6517647638766,,0.0,0.0,25.423738247304012,24.19445565660158,0.0,0.0,336.75
2020-11-28 03:00:00,21.72546868777541,0.0,28.305,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,3.451679941869944,-10.228107599646847,0.0,0.0,0.0,331.0,30.835931184067864,,0.0,0.0,25.432915388844297,24.184653098795387,0.0,0.0,331.0
