,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,t_high,t_low,T_i,T_w,phi_h_cool,p_hvac,p_load,p_ch,p_dis,p_im,p_ex,soc,cost,payment
2020-11-23 00:00:00,21.234355721033353,0.0,28.394999999999996,0.25,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.5,3.4861701039342865,-10.356863387727564,25.5,24.5,24.0,25.0,0.0,-0.0,330.5,0.0,330.25,0.0,0.0,6.9,0.0,0.0
2020-11-23 00:20:00,21.358252134697654,0.0,28.374999999999996,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.25,3.4774690357975198,-10.324381287962318,25.5,24.5,24.151728942742835,24.961421545845678,0.0,-0.0,331.25,0.0,331.25,0.0,0.0,6.7878988458927365,0.0,0.0
2020-11-23 00:40:00,21.407515536029816,0.0,28.345000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,329.75,3.4740093374982495,-10.311465831658778,25.5,24.5,24.291391383134084,24.925698905853956,0.0,-0.0,329.75,0.0,329.75,0.0,0.0,6.675458248472506,0.0,0.0
2020-11-23 01:00:00,21.468761966830925,0.0,28.313333333333333,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.4697080881579887,-10.295408767400751,25.5,24.5,24.41993347550219,24.8920840008911,0.0,-0.0,333.0,0.0,333.0,0.0,0.0,6.563526816021725,0.0,0.0
2020-11-23 01:20:00,21.470137425272387,0.0,28.293333333333333,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.3333333333333,3.4696114916765857,-10.295048161496211,25.5,24.5,24.538193950752298,24.860549689736697,0.0,-0.0,328.3333333333333,0.0,328.3333333333333,0.0,0.0,6.450492192803803,0.0,0.0
2020-11-23 01:40:00,21.519022761787188,0.0,28.26,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.75,3.466178344329346,-10.282231822985931,25.5,24.5,24.646956638886003,24.83049439357478,0.0,-0.0,332.75,0.0,332.75,0.0,0.0,6.339041638379725,0.0,0.0
2020-11-23 02:00:00,21.536707824851952,0.0,28.226666666666663,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,330.25,3.4649363476146835,-10.277595304737869,25.5,24.5,24.746917527608566,24.802201879175378,0.0,-0.0,330.25,0.0,330.25,0.0,0.0,6.226091875990044,0.0,0.0
2020-11-23 02:20:00,21.437292066054756,0.0,28.215,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,328.75,3.471918174332498,-10.30365927624424,25.5,24.5,24.83874646762287,24.775319785173163,0.0,-0.0,328.75,0.0,328.75,0.0,0.0,6.1139907218827805,0.0,0.0
2020-11-23 02:40:00,21.339599440772812,0.0,28.165,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,336.75,3.4787789878451556,-10.3292714913753,25.5,24.5,24.923048495943384,24.748811502437,0.0,-0.0,336.75,0.0,336.75,0.0,0.0,6.002398732744966,0.0,0.0
2020-11-23 03:00:00,21.40122545946528,0.0,28.15,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,331.0,3.474451080589554,-10.313114910017527,25.5,24.5,25.00032456047717,24.72262399660319,0.0,-0.0,331.0,0.0,331.0,0.0,0.0,5.888091197103418,0.0,0.0
2020-11-23 03:20:00,21.54452754041127,0.0,28.16,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,324.75,3.464387180161975,-10.275545198738657,25.5,24.5,25.07104048370537,24.697984901478232,0.0,-0.0,324.75,0.0,324.75,0.0,0.0,5.775735460511429,0.0,0.0
2020-11-23 03:40:00,21.47717298752336,0.0,28.105,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,332.5,3.469117394190503,-10.29320363809007,25.5,24.5,25.135710391003798,24.675477220191784,0.0,-0.0,332.5,0.0,332.5,0.0,0.0,5.665501244625482,0.0,0.0
2020-11-23 04:00:00,21.316658549346258,0.0,28.075,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,333.0,3.4803900938773404,-10.335285937653302,25.5,24.5,25.194852774964634,24.65331221106651,0.0,-0.0,333.0,0.0,333.0,0.0,0.0,5.5526363430640435,0.0,0.0
2020-11-23 04:20:00,21.17410380868363,0.0,28.044999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,327.5,3.4904015096644474,-10.372659717662453,25.5,24.5,25.248839837241338,24.630685439912735,0.0,-0.0,327.5,0.0,327.5,0.0,0.0,5.439601719846121,0.0,0.0
2020-11-23 04:40:00,21.090740199780186,0.0,28.006666666666664,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,338.25,3.4962560168268664,-10.394515274099538,25.5,24.5,25.297969174509316,24.607708035703887,0.0,-0.0,338.25,0.0,338.25,0.0,0.0,5.328434034849516,0.0,0.0
2020-11-23 05:00:00,21.000665923605307,0.0,27.98,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,10.0,0.5,300.0,500.0,0.0,343.75,3.502581804565091,-10.418130175761842,25.5,24.5,25.342526560398724,24.584825510626683,0.0,-0.0,343.75,0.0,343.75,0.0,0.0,5.213617334238518,0.0,0.0
