,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w,cost,payment,p_load
2020-11-26 00:00:00,18.956932598001135,0.0,27.01,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,330.5,3.646110276403235,-10.953938661354528,0.0,-2669.5,0.0,3000.0,42.60573794735286,,0.0,0.0,24.0,25.0,0.0,-0.09788166666666667,330.5
2020-11-26 00:20:00,19.110408999125664,0.0,26.926666666666666,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,332.0,3.6353318480042613,-10.913701534019708,0.0,-2668.0,0.0,3000.0,35.211475894705714,,0.0,0.0,24.139475967695425,24.946227608098358,0.0,-0.09782666666666666,332.0
2020-11-26 00:40:00,19.172708247861365,0.0,26.84,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,330.0,3.63095666076448,-10.897368450979743,0.0,-2670.0,0.0,3000.0,27.817213842058568,,0.0,0.0,24.267571056520335,24.89482864229658,0.0,-0.09789999999999999,330.0
2020-11-26 01:00:00,19.14174246428997,0.0,26.793333333333333,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,335.3333333333333,3.633131343507865,-10.90548679469549,4.547473508864641e-13,-2533.5833333333335,0.0,2868.9166666666665,20.746039961878477,,0.0,0.0,24.385053769772874,24.844937786040163,2.4253192047278086e-17,-0.09289805555555555,335.3333333333333
2020-11-26 01:20:00,19.110384083930498,0.0,26.735,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,328.5,3.6353335977628247,-10.913708066072017,0.0,0.0,0.0,328.5,19.936368267113615,,0.0,0.0,24.492640469374763,24.796449051134214,0.0,0.0,328.5
2020-11-26 01:40:00,19.016827837587904,0.0,26.674999999999997,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,332.75,3.6419039192916847,-10.938235840827435,0.0,0.0,0.0,332.75,19.11622136777417,,0.0,0.0,24.59096953244034,24.74877087371607,0.0,0.0,332.75
2020-11-26 02:00:00,18.89601104609264,0.0,26.61,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,330.25,3.650388709962981,-10.969910551649168,0.0,0.0,0.0,330.25,18.302236353478598,,0.0,0.0,24.680623434249892,24.701604070718744,0.0,0.0,330.25
2020-11-26 02:20:00,18.76964094343755,0.0,26.549999999999997,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,328.75,3.6592635017437294,-11.00304118199097,0.0,0.0,0.0,328.75,17.491948470209348,,0.0,0.0,24.762142932942332,24.654831456467043,0.0,0.0,328.75
2020-11-26 02:40:00,18.675478740227057,0.0,26.485000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,336.75,3.665876378757769,-11.027727821324095,0.0,0.0,0.0,336.75,16.661942554799705,,0.0,0.0,24.836047850927883,24.6086426645633,0.0,0.0,336.75
2020-11-26 03:00:00,18.564074726347513,0.0,26.43,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,331.0,3.673700123503939,-11.05693477079149,0.0,0.0,0.0,331.0,15.846108974990969,,0.0,0.0,24.902814881841884,24.56283418118548,0.0,0.0,331.0
