date_,time_,t_av,t_w,t_ext,ghi,heating
2020-09-06,00:00:00,19.2,0,11.2,0,0
2020-09-06,00:05:00,19.19,0,11.3,0,0
2020-09-06,00:10:00,19.18,0,11.3,0,0
2020-09-06,00:15:00,19.145,0,11.1,0,0
2020-09-06,00:20:00,19.135,0,11,0,0
2020-09-06,00:25:00,19.115,0,10.8,0,0
2020-09-06,00:30:00,19.095,0,10.9,0,0
2020-09-06,00:35:00,19.075,0,10.8,0,0
2020-09-06,00:40:00,19.06,0,10.9,0,0
2020-09-06,00:45:00,19.045,0,10.5,0,0
2020-09-06,00:50:00,19.01,0,10.3,0,0
2020-09-06,00:55:00,19.005,0,10.3,0,0
2020-09-06,01:00:00,18.985,0,10.2,0,0
2020-09-06,01:05:00,18.965,0,10.4,0,0
2020-09-06,01:10:00,18.945,0,10,0,0
2020-09-06,01:15:00,18.92,0,10.2,0,0
2020-09-06,01:20:00,18.895,0,10,0,0
2020-09-06,01:25:00,18.875,0,9.8,0,0
2020-09-06,01:30:00,18.85,0,9.9,0,0
2020-09-06,01:35:00,18.84,0,9.8,0,0
2020-09-06,01:40:00,18.83,0,9.8,0,0
2020-09-06,01:45:00,18.79,0,9.8,0,0
2020-09-06,01:50:00,18.78,0,9.7,0,0
2020-09-06,01:55:00,18.755,0,9.4,0,0
2020-09-06,02:00:00,18.74,0,9.8,0,0
2020-09-06,02:05:00,18.725,0,9.6,0,0
2020-09-06,02:10:00,18.7,0,9.3,0,0
2020-09-06,02:15:00,18.675,0,9.8,0,0
2020-09-06,02:20:00,18.66,0,9.2,0,0
2020-09-06,02:25:00,18.64,0,9.6,0,0
2020-09-06,02:30:00,18.615,0,9.2,0,0
2020-09-06,02:35:00,18.605,0,9.3,0,0
2020-09-06,02:40:00,18.57,0,9,0,0
2020-09-06,02:45:00,18.55,0,9.4,0,0
2020-09-06,02:50:00,18.535,0,9.2,0,0
2020-09-06,02:55:00,18.51,0,9.4,0,0
2020-09-06,03:00:00,18.485,0,9.1,0,0
2020-09-06,03:05:00,18.48,0,9.3,0,0
2020-09-06,03:10:00,18.445,0,9.3,0,0
2020-09-06,03:15:00,18.425,0,9.1,0,0
2020-09-06,03:20:00,18.39,0,9.1,0,0
2020-09-06,03:25:00,18.39,0,9,0,0
2020-09-06,03:30:00,18.365,0,9.2,0,0
2020-09-06,03:35:00,18.34,0,9.2,0,0
2020-09-06,03:40:00,18.325,0,8.9,0,0
2020-09-06,03:45:00,18.295,0,9.2,0,0
2020-09-06,03:50:00,18.28,0,9.3,0,0
2020-09-06,03:55:00,18.26,0,9.2,0,0
2020-09-06,04:00:00,18.23,0,9.3,0,0
2020-09-06,04:05:00,18.22,0,9.3,0,0
2020-09-06,04:10:00,18.19,0,9.3,0,0
2020-09-06,04:15:00,18.165,0,9.5,0,0
2020-09-06,04:20:00,18.145,0,9.4,0,0
2020-09-06,04:25:00,18.13,0,9.4,0,0
2020-09-06,04:30:00,18.11,0,9.9,0,0
2020-09-06,04:35:00,18.085,0,9.9,0,0
2020-09-06,04:40:00,18.07,0,10,0,0
2020-09-06,04:45:00,18.05,0,10.1,0,0
2020-09-06,04:50:00,18.02,0,10.4,0,0
2020-09-06,04:55:00,17.995,0,10.6,0,0
2020-09-06,05:00:00,17.985,0,10.8,0,0
2020-09-06,05:05:00,17.965,0,11,0,0
2020-09-06,05:10:00,17.94,0,11,0,0
2020-09-06,05:15:00,17.92,0,11.3,0,0
2020-09-06,05:20:00,17.9,0,11.2,0,0
2020-09-06,05:25:00,17.88,0,11.2,0,0
2020-09-06,05:30:00,17.875,0,11.1,0,0
2020-09-06,05:35:00,17.85,0,11.2,0,0
2020-09-06,05:40:00,17.83,0,10.9,0,0
2020-09-06,05:45:00,17.81,0,11,0,0
2020-09-06,05:50:00,17.79,0,11,0,0
2020-09-06,05:55:00,17.775,0,11.2,0,0
2020-09-06,06:00:00,17.765,0,11.3,0,0
2020-09-06,06:05:00,17.745,0,11.1,0.015,0
2020-09-06,06:10:00,17.73,0,11.3,0.02,0
2020-09-06,06:15:00,17.71,0,11.5,0.023,0
2020-09-06,06:20:00,17.7,0,11.2,0.024,0
2020-09-06,06:25:00,17.695,0,11.6,0.027,0
2020-09-06,06:30:00,17.67,0,12,0.03,0
2020-09-06,06:35:00,17.66,0,12.2,0.028,0
2020-09-06,06:40:00,17.645,0,12.4,0.031,0
2020-09-06,06:45:00,17.63,0,12.5,0.033,0
2020-09-06,06:50:00,17.61,0,12.7,0.033,0
2020-09-06,06:55:00,17.605,0,12.7,0.038,0
2020-09-06,07:00:00,17.59,0,12.7,0.043,0
2020-09-06,07:05:00,17.57,0,12.5,0.041,0
2020-09-06,07:10:00,17.555,0,13,0.038,0
2020-09-06,07:15:00,17.55,0,13,0.038,0
2020-09-06,07:20:00,17.535,0,13.5,0.041,0
2020-09-06,07:25:00,17.525,0,13.4,0.044,0
2020-09-06,07:30:00,17.515,0,13.2,0.047,0
2020-09-06,07:35:00,17.5,0,13.7,0.057,0
2020-09-06,07:40:00,17.48,0,13.9,0.069,0
2020-09-06,07:45:00,17.47,0,14.1,0.079,0
2020-09-06,07:50:00,17.465,0,14.2,0.09296,0
2020-09-06,07:55:00,17.46,0,14,0.102,0
2020-09-06,08:00:00,17.45,0,14.4,0.11496,0
2020-09-06,08:05:00,17.445,0,14.5,0.13496,0
2020-09-06,08:10:00,17.43,0,15,0.196,0
2020-09-06,08:15:00,17.43,0,15.8,0.20688,0
2020-09-06,08:20:00,17.43,0,16,0.18992,0
2020-09-06,08:25:00,17.44,0,16.5,0.19888,0
2020-09-06,08:30:00,17.44,0,16.3,0.17696,0
2020-09-06,08:35:00,17.45,0,16.7,0.22992,0
2020-09-06,08:40:00,17.43,0,17.2,0.256,0
2020-09-06,08:45:00,17.43,0,17.6,0.312,0
2020-09-06,08:50:00,17.47,0,18.6,0.3568,0
2020-09-06,08:55:00,17.475,0,19,0.3568,0
2020-09-06,09:00:00,17.495,0,20.5,0.57184,0
2020-09-06,09:05:00,17.5,0,21.6,0.58784,0
2020-09-06,09:10:00,17.51,0,22.8,0.66944,0
2020-09-06,09:15:00,17.505,0,20.2,0.34272,0
2020-09-06,09:20:00,17.525,0,22.8,0.69248,0
2020-09-06,09:25:00,17.545,0,20.9,0.64576,0
2020-09-06,09:30:00,17.56,0,22.5,0.63072,0
2020-09-06,09:35:00,17.58,0,21.7,0.61696,0
2020-09-06,09:40:00,17.575,0,22.2,0.63392,0
2020-09-06,09:45:00,17.585,0,20.9,0.64896,0
2020-09-06,09:50:00,17.605,0,21.5,0.66176,0
