,t_ext,ghi,t_bed,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load,cop,cool_cap,p_im,p_ex,p_ch,p_dis,soc,phi_h_heat,phi_h_cool,p_hvac,T_i,T_w
2021-01-10 00:00:00,18.0,0.0,27.18,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,494.5,3.7133142857142865,-11.204819047619054,0.0,0.0,0.0,494.5,15.640589569160998,,,,,
2021-01-10 00:10:00,17.968950268305914,0.0,27.1,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,493.5,3.7154948640144028,-11.21295940013405,0.0,0.0,0.0,493.5,15.03241151533077,,,,,
2021-01-10 00:20:00,17.929832078812375,0.0,27.06,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,499.5,3.718242078579406,-11.223215071756702,0.0,0.0,0.0,499.5,14.416839199447894,,,,,
2021-01-10 00:30:00,17.845590785160788,0.0,27.02,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,496.0,3.724158224287852,-11.245300732058043,0.0,0.0,0.0,496.0,13.80558020309573,,,,,
2021-01-10 00:40:00,17.76217941202007,0.0,26.950000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,497.0,3.7300160858644196,-11.267168810913448,0.0,0.0,0.0,497.0,13.19308882973479,,,,,
2021-01-10 00:50:00,17.715329904090368,0.0,26.89,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,487.0,3.7333062598784545,-11.279451413335247,0.0,0.0,0.0,487.0,12.592921226461597,,,,,
2021-01-10 01:00:00,17.67765169813739,0.0,26.84,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,487.0,3.7359523464565236,-11.289329562415949,0.0,0.0,0.0,487.0,11.992753623188403,,,,,
2021-01-10 01:10:00,17.62394525916106,0.0,26.78,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,499.5,3.739724072942347,-11.303409856245857,0.0,0.0,0.0,499.5,11.377181307305527,,,,,
2021-01-10 01:20:00,17.59939004221808,0.0,26.729999999999997,0.5,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,488.5,3.741448550749371,-11.30984753255068,0.0,0.0,0.0,488.0,10.775781327023559,,,,,
2021-01-10 01:30:00,17.61864274122369,0.0,26.68,0.5,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,486.0,3.7400964612020626,-11.304800024948522,0.0,0.0,0.0,485.5,10.177462289263527,,,,,
2021-01-10 01:40:00,17.639006147687375,0.0,26.61,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,501.5,3.738666368256699,-11.299461321585358,0.0,0.0,0.0,501.5,9.559425219363103,,,,,
2021-01-10 01:50:00,17.65362801017244,0.0,26.57,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,489.0,3.737639495742748,-11.295627887009275,0.0,0.0,0.0,489.0,8.95679286207236,,,,,
2021-01-10 02:00:00,17.635547555051357,0.0,26.509999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,490.5,3.73890926027668,-11.300368065757588,0.0,0.0,0.0,490.5,8.352311939268455,,,,,
2021-01-10 02:10:00,17.621239656878142,0.0,26.44,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,487.5,3.7399140835255302,-11.304119187861515,0.0,0.0,0.0,487.5,7.751528147490875,,,,,
2021-01-10 02:20:00,17.664342633669783,0.0,26.39,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,486.5,3.736887023041134,-11.29281881886037,0.0,0.0,0.0,486.5,7.151976732722069,,,,,
2021-01-10 02:30:00,17.690792343739112,0.0,26.33,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,488.0,3.7350294976882656,-11.285884460586193,0.0,0.0,0.0,488.0,6.550576752440101,,,,,
2021-01-10 02:40:00,17.733210985033026,0.0,26.28,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,487.5,3.732050497108253,-11.27476350480011,0.0,0.0,0.0,487.5,5.949792960662521,,,,,
2021-01-10 02:50:00,17.751815654798605,0.0,26.24,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,489.5,3.7307439177287156,-11.269885891949567,0.0,0.0,0.0,489.5,5.346544414867391,,,,,
2021-01-10 03:00:00,17.767272459843895,0.0,26.189999999999998,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,483.0,3.7296584083915354,-11.265833559289694,0.0,0.0,0.0,483.0,4.751306319629296,,,,,
2021-01-10 03:10:00,17.788765925116017,0.0,26.130000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,500.0,3.7281489530304244,-11.260198586794349,0.0,0.0,0.0,500.0,4.135117815242034,,,,,
2021-01-10 03:20:00,17.798477422636303,0.0,26.08,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,483.5,3.7274669284331425,-11.257652509615891,0.0,0.0,0.0,483.5,3.5392635314995515,,,,,
2021-01-10 03:30:00,17.774408510822617,0.0,26.03,0.5,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,493.0,3.729157253725658,-11.263962690610244,0.0,0.0,0.0,492.5,2.9323178546780984,,,,,
2021-01-10 03:40:00,17.759265550308534,0.0,25.990000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,492.5,3.7302207222097614,-11.26793274220102,98.10000000000406,0.0,0.0,394.39999999999594,2.446268362417431,,,,,
2021-01-10 03:50:00,17.762208444538103,0.0,25.950000000000003,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,484.5,3.7300140469521534,-11.26716119941672,484.5,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 04:00:00,17.787464419090497,0.0,25.9,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,498.5,3.7282403559393025,-11.260539804488356,498.5,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 04:10:00,17.81341538782834,0.0,25.86,0.5,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,498.0,3.7264178564776564,-11.253736201941544,497.5,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 04:20:00,17.857311336338313,0.0,25.810000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,488.0,3.723335106722299,-11.242227938412187,488.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 04:30:00,17.87572713218217,0.0,25.78,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,475.0,3.7220417916884645,-11.237399842907523,475.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 04:40:00,17.883198892854242,0.0,25.729999999999997,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,457.5,3.7215170606104087,-11.235440960738181,457.5,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 04:50:00,17.889505055928254,0.0,25.7,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,438.0,3.7210741877865248,-11.233787664956264,438.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 05:00:00,17.87884677845416,0.0,25.66,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,410.0,3.72182270338742,-11.236581960787756,410.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 05:10:00,17.84364834439976,0.0,25.58,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,447.5,3.7242946391275833,-11.245809984527277,447.5,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 05:20:00,17.80791884872737,0.0,25.53,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,427.0,3.726803870566519,-11.255177237449844,427.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 05:30:00,17.778050029144204,0.0,25.490000000000002,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,429.0,3.7289015150961022,-11.263007988549706,429.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 05:40:00,17.724915439784514,8.5,25.44,0.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,454.0,3.7326330814002766,-11.27693835974869,454.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 05:50:00,17.652532923667003,20.5,25.41,2.0,0.25,0.16,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,500.0,0.0,450.0,3.737716402103615,-11.295914987402814,448.0,0.0,0.0,0.0,2.446268362417431,,,,,
2021-01-10 06:00:00,17.565410888650625,23.5,25.35,9.5,0.25,0.28,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,1500.0,0.0,457.5,3.7438348581627654,-11.318755895783106,0.0,0.0,0.0,448.0,1.894163462486444,,,,,
2021-01-10 06:10:00,17.543065881766502,27.0,25.32,26.0,0.25,0.28,0.11,0.02,0.01,1.0,0.0,0.0,25.0,25.0,0.5,300.0,1500.0,0.0,459.5,3.745404116074799,-11.324614118159356,-2.2737367544323206e-13,0.0,0.0,433.5000000000002,1.3599280291826874,,,,,
